,economy,GDP per capita (current US$),"Government expenditure on education, total (% of government expenditure)",Current health expenditure (% of GDP),Gini index,"Life expectancy at birth, total (years)",year,region,ncomelvl,incomelvl
0,ABW,24093.1401510626,22.1767807006836,,,74.297,2010,LCN,,HIC
1,ABW,25712.3843015186,21.7505397796631,,,74.578,2011,LCN,,HIC
2,ABW,25119.6655449838,20.6340808868408,,,74.841,2012,LCN,,HIC
3,ABW,25813.5767274227,21.8776302337646,,,75.072,2013,LCN,,HIC
4,ABW,26129.8390617693,19.6179790496826,,,75.261,2014,LCN,,HIC
5,ABW,27458.2253310273,23.201379776001,,,75.405,2015,LCN,,HIC
6,ABW,27441.5296617282,21.8537502288818,,,75.54,2016,LCN,,HIC
7,ABW,28440.051963759,18.5214084951566,,,75.62,2017,LCN,,HIC
8,ABW,30082.1276448186,20.1234403394689,,,75.88,2018,LCN,,HIC
9,ABW,31096.2050738676,19.4014270600936,,,76.019,2019,LCN,,HIC
10,ABW,22855.9323200761,,,,75.406,2020,LCN,,HIC
11,ABW,27200.0610793969,10.9564429608125,,,73.655,2021,LCN,,HIC
12,ABW,30559.5335346581,,,,76.226,2022,LCN,,HIC
13,ABW,33984.7906198041,,,,76.353,2023,LCN,,HIC
29,AFG,560.621505463146,17.0771293640137,8.56967163,,60.702,2010,MEA,,LIC
30,AFG,606.694676337726,16.0484294891357,8.56190777,,61.25,2011,MEA,,LIC
31,AFG,651.417134470046,10.3568000793457,7.89716864,,61.735,2012,MEA,,LIC
32,AFG,637.087099117099,14.1028003692627,8.80596447,,62.188,2013,MEA,,LIC
33,AFG,625.054941813938,14.4659299850464,9.52887821,,62.26,2014,MEA,,LIC
34,AFG,565.569730408751,12.5089998245239,10.10534763,,62.27,2015,MEA,,LIC
35,AFG,522.082215583898,16.2117004394531,11.81859016,,62.646,2016,MEA,,LIC
36,AFG,525.469770891619,15.6613798141479,12.62081718,,62.406,2017,MEA,,LIC
37,AFG,491.337221382603,,14.20841885,,62.443,2018,MEA,,LIC
38,AFG,496.6025042585,,14.83131981,,62.941,2019,MEA,,LIC
39,AFG,510.787063366811,,15.53361416,,61.454,2020,MEA,,LIC
40,AFG,356.496214115892,,21.508461,,60.417,2021,MEA,,LIC
41,AFG,357.261152798144,,23.0881691,,65.617,2022,MEA,,LIC
42,AFG,413.757894705303,,,,66.035,2023,MEA,,LIC
58,AGO,3597.34293216332,8.68476963043213,2.69509959,,57.242,2010,SSF,,LMC
59,AGO,4615.91059831778,,2.64560771,,58.093,2011,SSF,,LMC
60,AGO,5086.02740086376,8.37043244524554,2.39574957,,58.916,2012,SSF,,LMC
61,AGO,5057.74787833163,8.82697061127785,2.73282695,,59.705,2013,SSF,,LMC
62,AGO,5005.9997412707,,2.43412876,,60.396,2014,SSF,,LMC
63,AGO,3213.90261080059,8.9187765351992,2.60579467,,61.042,2015,SSF,,LMC
64,AGO,1807.95294072643,6.55097404850717,2.71314979,,61.619,2016,SSF,,LMC
65,AGO,2437.25971190821,6.76377686213957,2.79383755,,62.122,2017,SSF,,LMC
66,AGO,2538.59139143371,5.77752454566543,2.59482241,51.3,62.622,2018,SSF,,LMC
67,AGO,2189.85571407618,6.04535564723515,2.47518778,,63.051,2019,SSF,,LMC
68,AGO,1449.92286669308,5.29473572273771,3.27488494,,63.116,2020,SSF,,LMC
69,AGO,1925.87466082167,6.91961006302706,3.09277129,,62.958,2021,SSF,,LMC
70,AGO,2929.69445467272,6.64047212078077,2.92737579,,64.246,2022,SSF,,LMC
71,AGO,2309.53413042773,7.73896250991202,,,64.617,2023,SSF,,LMC
72,AGO,2122.08368991872,6.36976605603197,,,,2024,SSF,,LMC
73,ALB,4149.14469936847,,6.23667669,,78.414,2010,ECS,,UMC
74,ALB,4465.70914328865,10.9672234716811,6.18297672,,78.303,2011,ECS,,UMC
75,ALB,4222.3470988913,11.509856714685,6.15746212,29.0,78.084,2012,ECS,,UMC
76,ALB,4420.23461988353,12.1239099502563,6.28286266,,77.995,2013,ECS,,UMC
77,ALB,4602.23051443229,10.9181681167363,6.43451118,34.6,78.029,2014,ECS,,UMC
78,ALB,3981.72662261867,11.1775503158569,6.46411896,32.8,78.358,2015,ECS,,UMC
79,ALB,4168.37544462548,13.596960067749,6.7293272,33.7,78.643,2016,ECS,,UMC
80,ALB,4614.0479692596,12.3852100372315,6.57848787,33.1,78.9,2017,ECS,,UMC
81,ALB,5365.48880180298,10.8817322436585,6.66844559,30.1,79.238,2018,ECS,,UMC
82,ALB,5460.4305086932,13.4334001541138,6.86214113,30.1,79.467,2019,ECS,,UMC
83,ALB,5370.77749956875,10.267430305481,7.50389433,29.4,77.824,2020,ECS,,UMC
84,ALB,6413.28280828537,9.40900993347168,7.39913177,,76.844,2021,ECS,,UMC
85,ALB,6846.42669381643,9.01408958435059,6.19368076,,78.769,2022,ECS,,UMC
86,ALB,8575.17134637222,10.8565797805786,,,79.602,2023,ECS,,UMC
87,ALB,10011.6279856667,,,,,2024,ECS,,UMC
88,AND,42746.8309526019,,7.67537737,,84.197,2010,ECS,,HIC
89,AND,46657.1561173756,,7.62060833,,84.296,2011,ECS,,HIC
90,AND,41500.5435791686,9.84161391329076,6.71083689,,84.334,2012,ECS,,HIC
91,AND,42470.3161159692,6.19552993774414,6.79964209,,84.406,2013,ECS,,HIC
92,AND,44369.659691379,13.3152103424072,6.77308035,,84.485,2014,ECS,,HIC
93,AND,38654.9347203095,10.4428100585938,6.91586447,,84.532,2015,ECS,,HIC
94,AND,40129.8192007698,9.99098014831543,6.90521765,,84.489,2016,ECS,,HIC
95,AND,40672.9943348258,9.39243984222412,7.07142639,,84.359,2017,ECS,,HIC
96,AND,42819.7745797624,13.4619197845459,7.37541723,,84.242,2018,ECS,,HIC
97,AND,41257.8045846483,10.8952398300171,7.323246,,84.098,2019,ECS,,HIC
98,AND,37361.0900666982,8.99186922593895,8.78673935,,79.418,2020,ECS,,HIC
99,AND,42425.6996756291,10.264735366383,8.33450699,,82.331,2021,ECS,,HIC
100,AND,42414.0590092117,6.96128988265991,7.53678846,,84.016,2022,ECS,,HIC
101,AND,46812.4484486309,11.6209201812744,7.92821121,,84.041,2023,ECS,,HIC
102,AND,49303.6733899464,12.0045154081126,,,,2024,ECS,,HIC
118,ARE,43696.6712590463,,3.74433136,,81.886,2010,MEA,,HIC
119,ARE,50789.050540755,,3.56666398,,81.898,2011,MEA,,HIC
120,ARE,52034.4762476071,,3.33596373,,81.913,2012,MEA,,HIC
121,ARE,52023.5170959441,,3.50222182,32.5,81.95,2013,MEA,,HIC
122,ARE,51381.4069901746,,3.53405499,,81.99,2014,MEA,,HIC
123,ARE,43534.9972694631,,3.46609354,,82.076,2015,MEA,,HIC
124,ARE,41326.4018161569,,3.89580107,,82.195,2016,MEA,,HIC
125,ARE,42340.5917160161,,4.00854969,,82.388,2017,MEA,,HIC
126,ARE,45689.8570049401,,4.09854221,26.4,82.449,2018,MEA,,HIC
127,ARE,44251.4541398817,13.5688695907593,4.40291262,,82.596,2019,MEA,,HIC
128,ARE,37173.8754093066,12.7982301712036,5.82477045,,81.936,2020,MEA,,HIC
129,ARE,43360.0211001327,14.7556104660034,5.30494308,,79.083,2021,MEA,,HIC
130,ARE,49899.0652975197,,4.67550945,,80.487,2022,MEA,,HIC
131,ARE,49040.6947521035,,,,82.909,2023,MEA,,HIC
132,ARE,49377.5643384379,,,,,2024,MEA,,HIC
133,ARG,10260.1313108254,15.0479698181152,9.44546413,43.7,75.68,2010,LCN,,UMC
134,ARG,12704.2831819684,15.1585597991943,9.41819859,42.7,76.1,2011,LCN,,UMC
135,ARG,12949.717486654,14.5182600021362,9.82726669,41.4,75.802,2012,LCN,,UMC
136,ARG,12963.675773326,14.457929611206,9.78097916,41.1,75.829,2013,LCN,,UMC
137,ARG,12233.1444119186,13.7993297576904,9.67129993,41.8,76.268,2014,LCN,,UMC
138,ARG,13679.6264980954,13.9633102416992,10.22933674,,76.6,2015,LCN,,UMC
139,ARG,12699.9623137756,13.3555402755737,9.85558891,42.3,76.105,2016,LCN,,UMC
140,ARG,14532.5009308511,13.2639198303223,10.23174763,41.4,76.543,2017,LCN,,UMC
141,ARG,11752.7998922979,12.5233402252197,10.29146862,41.7,76.77,2018,LCN,,UMC
142,ARG,9955.97478680428,12.5144596099853,10.1555109,43.3,76.847,2019,LCN,,UMC
143,ARG,8535.59938004389,12.4222898483276,10.45030594,42.7,75.878,2020,LCN,,UMC
144,ARG,10738.0179223384,12.2848997116089,10.03832245,42.4,73.948,2021,LCN,,UMC
145,ARG,13935.6811110049,12.7075796127319,9.86305332,40.7,75.806,2022,LCN,,UMC
146,ARG,14187.4827252965,13.9669579469216,,42.4,77.395,2023,LCN,,UMC
147,ARG,13858.2039802008,,,42.4,,2024,LCN,,UMC
148,ARM,3041.34450723339,12.4005098342896,9.23538303,30.0,73.1731707317073,2010,ECS,,UMC
149,ARM,3349.55309771906,12.593339920044,9.37588882,29.4,73.8170731707317,2011,ECS,,UMC
150,ARM,3511.56399687426,12.3689699172974,9.13455009,29.6,74.119512195122,2012,ECS,,UMC
151,ARM,3680.16692158886,11.1367597579956,10.32345009,30.6,74.6219512195122,2013,ECS,,UMC
152,ARM,3852.11800610384,9.36711978912354,10.17827892,31.5,74.8731707317073,2014,ECS,,UMC
153,ARM,3512.39350276709,10.6563596725464,10.11762714,32.4,74.8707317073171,2015,ECS,,UMC
154,ARM,3524.42476874707,10.1971998214722,9.95194912,32.5,74.8682926829268,2016,ECS,,UMC
155,ARM,3869.05373867752,10.4031295776367,10.36270332,33.6,75.2170731707317,2017,ECS,,UMC
156,ARM,4196.00562301769,8.67858759584602,10.00543404,34.4,75.619512195122,2018,ECS,,UMC
157,ARM,4597.22887399548,8.57524427236558,11.3798008,30.0,76.2219512195122,2019,ECS,,UMC
158,ARM,4268.68093304583,8.82777976989746,12.24056244,25.1,73.3756097560976,2020,ECS,,UMC
159,ARM,4685.17997128509,9.6553201675415,12.32268524,27.9,72.2780487804878,2021,ECS,,UMC
160,ARM,6571.97445545099,9.4465503692627,9.96212864,27.9,74.7658536585366,2022,ECS,,UMC
161,ARM,8125.27395754003,9.03689956665039,,27.2,77.4658536585366,2023,ECS,,UMC
162,ARM,8500.60522486719,9.44001466301154,,,,2024,ECS,,UMC
163,ASM,10375.1720141957,,,,72.587,2010,EAS,,HIC
164,ASM,10383.459331451,,,,72.662,2011,EAS,,HIC
165,ASM,11745.4899153958,,,,72.709,2012,EAS,,HIC
166,ASM,11813.5022034589,,,,72.769,2013,EAS,,HIC
167,ASM,12026.3344929488,,,,72.687,2014,EAS,,HIC
168,ASM,12727.4102651386,,,,72.654,2015,EAS,,HIC
169,ASM,12843.3342903627,,,,72.64,2016,EAS,,HIC
170,ASM,11863.6839452565,,,,72.801,2017,EAS,,HIC
171,ASM,12552.0546868861,,,,72.794,2018,EAS,,HIC
172,ASM,12886.1359517218,,,,72.751,2019,EAS,,HIC
173,ASM,14489.2586563775,,,,72.672,2020,EAS,,HIC
174,ASM,15236.1604875571,,,,72.708,2021,EAS,,HIC
175,ASM,18017.4589383973,,,,72.752,2022,EAS,,HIC
176,ASM,,,,,72.852,2023,EAS,,HIC
177,ATG,15217.3950790922,,5.37907028,,76.701,2010,LCN,,HIC
178,ATG,14911.7275084471,,5.44257212,,77.023,2011,LCN,,HIC
179,ATG,15639.8078114787,10.1432566158553,5.47921467,,77.1,2012,LCN,,HIC
180,ATG,15051.5113587425,10.7302337628903,5.50909233,,77.05,2013,LCN,,HIC
181,ATG,15532.1062063584,10.3166237216653,5.87269926,,76.912,2014,LCN,,HIC
182,ATG,16077.6340769406,7.63021186110744,5.27965546,,76.892,2015,LCN,,HIC
183,ATG,16556.8551801588,6.48356977771811,5.12190151,,76.968,2016,LCN,,HIC
184,ATG,16965.7288273816,7.17285462739055,4.87493944,,77.03,2017,LCN,,HIC
185,ATG,18273.4270684912,7.58762543454399,4.85204983,,77.132,2018,LCN,,HIC
186,ATG,18896.3721832248,9.5436641711259,4.40662289,,77.168,2019,LCN,,HIC
187,ATG,15369.6082250401,7.37875673022059,5.72944784,,77.161,2020,LCN,,HIC
188,ATG,17348.6006987182,6.85999508093725,4.99196768,,77.197,2021,LCN,,HIC
189,ATG,20105.1989085164,7.80537969275292,5.7299943,,77.483,2022,LCN,,HIC
190,ATG,21494.5474000727,8.66960664463981,,,77.598,2023,LCN,,HIC
191,ATG,23725.7903725506,11.0358980547858,,,,2024,LCN,,HIC
192,AUS,52144.6654705468,,8.41878414,34.7,81.6951219512195,2010,EAS,,HIC
193,AUS,62605.600458306,,8.53360462,,81.8951219512195,2011,EAS,,HIC
194,AUS,68072.8732340801,,8.66922569,,82.0463414634146,2012,EAS,,HIC
195,AUS,68190.7010035651,,8.74458122,,82.1487804878049,2013,EAS,,HIC
196,AUS,62544.0873773726,,9.82490253,34.4,82.3,2014,EAS,,HIC
197,AUS,56739.0265346593,,10.17367649,,82.4,2015,EAS,,HIC
198,AUS,49888.0410842736,,10.08972931,33.7,82.4487804878049,2016,EAS,,HIC
199,AUS,53901.7145392154,,10.11242294,,82.5,2017,EAS,,HIC
200,AUS,57196.4220783778,,10.05163097,34.3,82.7487804878049,2018,EAS,,HIC
201,AUS,54972.7017885437,,10.21285057,,82.9,2019,EAS,,HIC
202,AUS,51791.540179984,12.1686601638794,10.66040134,33.8,83.2,2020,EAS,,HIC
203,AUS,60607.7788605166,12.1116104125977,10.42525291,,83.3,2021,EAS,,HIC
204,AUS,64997.0136536475,12.6520795822144,9.92687893,,83.2,2022,EAS,,HIC
205,AUS,64835.9199754535,,,,83.0512195121951,2023,EAS,,HIC
206,AUS,64407.484256932,,,,,2024,EAS,,HIC
207,AUT,46611.1393420232,10.7506904602051,10.22101879,30.3,80.5804878048781,2010,ECS,,HIC
208,AUT,51116.8953522042,10.9618196487427,10.02613258,30.8,80.9829268292683,2011,ECS,,HIC
209,AUT,48250.4059142637,10.6584596633911,10.19915581,30.5,80.9365853658537,2012,ECS,,HIC
210,AUT,50305.3545774973,10.670069694519,10.28574848,30.8,81.1365853658537,2013,ECS,,HIC
211,AUT,51314.9722616322,10.4925403594971,10.36809158,30.5,81.490243902439,2014,ECS,,HIC
212,AUT,43915.228020857,10.7222204208374,10.36746693,30.5,81.190243902439,2015,ECS,,HIC
213,AUT,45061.4993920192,10.8798904418945,10.3522625,30.8,81.6414634146342,2016,ECS,,HIC
214,AUT,47163.7425775142,10.8424501419067,10.38402557,29.7,81.6439024390244,2017,ECS,,HIC
215,AUT,51194.0749841299,10.6811504364014,10.34885597,30.8,81.6926829268293,2018,ECS,,HIC
216,AUT,49885.9947355204,10.6711502075195,10.48753643,30.2,81.8951219512195,2019,ECS,,HIC
217,AUT,48716.4098900349,9.73538017272949,11.31641102,29.8,81.1926829268293,2020,ECS,,HIC
218,AUT,53648.7190742245,9.78234004974365,12.15228558,30.7,81.190243902439,2021,ECS,,HIC
219,AUT,52176.6649141178,9.93358039855957,11.15729332,30.9,81.2951219512195,2022,ECS,,HIC
220,AUT,56033.573792065,,10.87779903,31.2,81.5414634146342,2023,ECS,,HIC
221,AUT,56833.1960472053,,,,,2024,ECS,,HIC
222,AZE,5843.5337683582,8.70083999633789,2.64634848,,70.309,2010,ECS,,UMC
223,AZE,7189.81869211976,7.2198600769043,2.59547186,,70.565,2011,ECS,,UMC
224,AZE,7495.86527658099,5.64367008209229,3.15682149,,71.08,2012,ECS,,UMC
225,AZE,7875.34536661549,6.46412992477417,3.22551084,,71.485,2013,ECS,,UMC
226,AZE,7890.84028062087,7.23872995376587,3.58703041,,71.93,2014,ECS,,UMC
227,AZE,5500.50364628486,7.62711000442505,4.34131384,,72.349,2015,ECS,,UMC
228,AZE,3880.6852276838,8.19577980041504,4.42241955,,72.568,2016,ECS,,UMC
229,AZE,4147.1981423222,6.95455980300903,4.07396507,,72.694,2017,ECS,,UMC
230,AZE,4739.7943123408,7.39965009689331,3.83661342,,73.016,2018,ECS,,UMC
231,AZE,4805.75371765917,9.76756954193115,4.18188763,,73.29,2019,ECS,,UMC
232,AZE,4229.91064904503,10.7878503799438,5.84817696,,70.312,2020,ECS,,UMC
233,AZE,5408.04535175023,11.5088195800781,4.68526697,,70.999,2021,ECS,,UMC
234,AZE,7770.594223351,11.6396102905273,3.97840643,,74.125,2022,ECS,,UMC
235,AZE,7133.02838048328,11.1845502853394,,,74.429,2023,ECS,,UMC
236,AZE,7283.83562954872,11.4496007629151,,,,2024,ECS,,UMC
237,BDI,216.727705301976,16.5881004333496,11.28196716,,57.088,2010,SSF,,LIC
238,BDI,230.070577369084,14.9792995452881,10.06996346,,57.804,2011,SSF,,LIC
239,BDI,231.688496393569,16.4283199310303,8.63756466,,58.501,2012,SSF,,LIC
240,BDI,234.843045388828,17.2432594299316,8.62834644,38.6,59.179,2013,SSF,,LIC
241,BDI,250.540481111877,23.8400001525879,7.21081543,,59.764,2014,SSF,,LIC
242,BDI,280.966831311923,27.4972400665283,6.29022646,,60.107,2015,SSF,,LIC
243,BDI,235.286205393908,20.784610748291,7.06148243,,60.789,2016,SSF,,LIC
244,BDI,236.694472592753,19.7648506164551,6.95275736,,61.345,2017,SSF,,LIC
245,BDI,224.89939239264,19.5192604064941,7.29396152,,61.806,2018,SSF,,LIC
246,BDI,210.236494521532,21.2221666369194,9.05010796,,62.18,2019,SSF,,LIC
247,BDI,210.008139902508,20.7419523430914,10.71837234,37.5,62.569,2020,SSF,,LIC
248,BDI,214.091455416133,20.4385400056007,8.99484253,,62.101,2021,SSF,,LIC
249,BDI,250.634225368744,20.6370838073023,8.39522648,,62.882,2022,SSF,,LIC
250,BDI,192.074305359351,,,,63.651,2023,SSF,,LIC
251,BDI,153.930217854023,,,,,2024,SSF,,LIC
252,BEL,44197.393671162,11.948920249939,10.20009708,28.4,80.1829268292683,2010,ECS,,HIC
253,BEL,47760.8298776546,11.6030197143555,10.3613987,28.1,80.5853658536585,2011,ECS,,HIC
254,BEL,44874.1709182123,11.6744003295898,10.50250053,27.5,80.3853658536585,2012,ECS,,HIC
255,BEL,46964.5946777056,11.8087701797485,10.57460022,27.7,80.5878048780488,2013,ECS,,HIC
256,BEL,47995.7786961339,11.8351898193359,10.6084671,28.1,81.2878048780488,2014,ECS,,HIC
257,BEL,40893.804537772,12.007269859314,10.79679203,27.7,80.9926829268293,2015,ECS,,HIC
258,BEL,41854.5498296444,12.1512203216553,10.79323006,27.6,81.4390243902439,2016,ECS,,HIC
259,BEL,44035.3239358548,12.3418598175049,10.80117512,27.4,81.4926829268293,2017,ECS,,HIC
260,BEL,47487.2100392561,12.1805801391602,10.86121368,27.2,81.5951219512195,2018,ECS,,HIC
261,BEL,46716.6227467964,12.2196102142334,10.75969219,27.2,81.9951219512195,2019,ECS,,HIC
262,BEL,45906.2875805246,11.5557899475098,11.26481915,26.0,80.6951219512195,2020,ECS,,HIC
263,BEL,51658.238294958,11.6166801452637,11.04724503,26.6,81.790243902439,2021,ECS,,HIC
264,BEL,50822.2518538518,12.0173597335815,10.76192474,26.4,81.7487804878049,2022,ECS,,HIC
265,BEL,54690.0942734964,,,26.8,82.3975609756098,2023,ECS,,HIC
266,BEL,55954.6106261018,,,,,2024,ECS,,HIC
267,BEN,973.244254931526,26.1439609527588,3.00988984,,58.387,2010,SSF,,LMC
268,BEN,1059.41358852588,,2.99707985,43.4,58.462,2011,SSF,,LMC
269,BEN,1071.5258366283,25.0213108062744,3.07562971,,58.559,2012,SSF,,LMC
270,BEN,1168.92699279226,22.3412208557129,2.86880755,,58.863,2013,SSF,,LMC
271,BEN,1204.39918670094,22.2277107238769,2.69111967,,59.008,2014,SSF,,LMC
272,BEN,1002.41886879614,17.4795207977295,2.72813416,47.6,59.123,2015,SSF,,LMC
273,BEN,1010.5338961993,18.7914009094238,2.79549599,,59.283,2016,SSF,,LMC
274,BEN,1054.97408066814,19.8796501159668,2.66813827,,59.528,2017,SSF,,LMC
275,BEN,1151.7409703472,17.7091808319092,2.88632035,37.9,59.71,2018,SSF,,LMC
276,BEN,1130.82135339795,18.8681161491591,2.50914454,,59.888,2019,SSF,,LMC
277,BEN,1200.19426631122,15.7203538987759,2.7123611,,60.154,2020,SSF,,LMC
278,BEN,1318.65158107487,14.7747873406015,2.58129549,34.4,59.61,2021,SSF,,LMC
279,BEN,1266.42710981159,14.9914706871899,2.67981386,,60.475,2022,SSF,,LMC
280,BEN,1394.17784663045,15.797556817439,,,60.774,2023,SSF,,LMC
281,BEN,1485.38018980894,17.9680318219226,,,,2024,SSF,,LMC
282,BFA,624.957252224766,16.1728191375732,5.23958349,,56.343,2010,SSF,,LIC
283,BFA,725.024767725475,19.5006103515625,4.64868164,,57.001,2011,SSF,,LIC
284,BFA,731.470138867833,15.8953800201416,4.60267258,,57.457,2012,SSF,,LIC
285,BFA,759.762065168498,16.1652793884277,5.56331587,,57.903,2013,SSF,,LIC
286,BFA,764.861675106225,19.3681106567383,5.00027227,35.3,58.331,2014,SSF,,LIC
287,BFA,630.124750752312,18.0270805358887,5.13192415,,58.778,2015,SSF,,LIC
288,BFA,663.742364842886,,5.95486307,,59.173,2016,SSF,,LIC
289,BFA,709.091535894695,21.4440002441406,6.05965996,,59.578,2017,SSF,,LIC
290,BFA,777.465618514048,22.661169052124,4.9995389,43.0,59.972,2018,SSF,,LIC
291,BFA,764.853077774946,21.6566204230503,5.36802721,,60.184,2019,SSF,,LIC
292,BFA,825.237038782475,20.9924587920549,6.57714844,,60.454,2020,SSF,,LIC
293,BFA,895.535288442991,21.3924651599231,6.40747881,37.4,60.046,2021,SSF,,LIC
294,BFA,836.118304593682,21.9580967321077,6.77182007,,60.7,2022,SSF,,LIC
295,BFA,882.689810086163,20.2971969686914,,,61.092,2023,SSF,,LIC
296,BFA,987.321378101867,,,,,2024,SSF,,LIC
297,BGD,757.385280361508,,2.28807664,32.1,68.009,2010,SAS,,LMC
298,BGD,837.336944695647,16.7939701080322,2.36418128,,68.499,2011,SAS,,LMC
299,BGD,859.680536375497,15.7451200485229,2.3537879,,68.989,2012,SAS,,LMC
300,BGD,958.262989798283,14.0347404479981,2.29574466,,69.487,2013,SAS,,LMC
301,BGD,1094.46199702838,13.3063279357793,2.27915168,,70.016,2014,SAS,,LMC
302,BGD,1224.38647668165,12.0441031435219,2.27217698,,70.543,2015,SAS,,LMC
303,BGD,1649.28380858601,11.0494499206543,2.38938212,32.4,71.075,2016,SAS,,LMC
304,BGD,1811.08221668646,,2.36720181,,71.606,2017,SAS,,LMC
305,BGD,1965.24372731467,14.2451717852618,2.31622243,,72.122,2018,SAS,,LMC
306,BGD,2129.79896954606,8.73297023773193,2.25762248,,72.625,2019,SAS,,LMC
307,BGD,2248.85078828233,15.0307025894897,2.27063942,,71.421,2020,SAS,,LMC
308,BGD,2482.84917843357,12.769976047482,2.36551309,,71.103,2021,SAS,,LMC
309,BGD,2716.48592780431,12.4040438079191,2.39038587,30.9,74.265,2022,SAS,,LMC
310,BGD,2551.01773827307,13.0012248166938,,,74.672,2023,SAS,,LMC
311,BGD,2593.41607390407,11.9930164022657,,,,2024,SAS,,LMC
312,BGR,6853.94805511171,11.1634197235107,7.09477949,35.7,73.5121951219512,2010,ECS,,HIC
313,BGR,7849.58061302818,11.1000499725342,7.10250568,34.3,74.1634146341463,2011,ECS,,HIC
314,BGR,7431.95789508871,10.6909198760986,7.53903675,36.0,74.3146341463415,2012,ECS,,HIC
315,BGR,7795.98092108928,11.4398002624512,7.14167452,36.6,74.8609756097561,2013,ECS,,HIC
316,BGR,8069.60005667684,,7.68306208,37.4,74.4658536585366,2014,ECS,,HIC
317,BGR,7268.65445473873,,7.39363575,38.6,74.6146341463415,2015,ECS,,HIC
318,BGR,7822.49923292968,,7.45975018,40.6,74.8121951219512,2016,ECS,,HIC
319,BGR,8696.68930427924,12.7309503555298,7.49624491,40.4,74.8146341463415,2017,ECS,,HIC
320,BGR,9872.38507789106,11.7900295257568,7.33192015,41.3,74.9634146341464,2018,ECS,,HIC
321,BGR,10372.8044341114,11.7067098617554,7.09237671,40.3,75.1121951219512,2019,ECS,,HIC
322,BGR,10769.9475699414,11.914999961853,8.48235893,40.5,73.3560975609756,2020,ECS,,HIC
323,BGR,12972.2173356002,12.2527103424072,8.61892796,39.0,71.2121951219512,2021,ECS,,HIC
324,BGR,13999.6719197289,11.9818496704102,7.66357517,38.2,74.1609756097561,2022,ECS,,HIC
325,BGR,15883.8618545581,,,39.5,75.7073170731707,2023,ECS,,HIC
326,BGR,17412.4115085691,,,,,2024,ECS,,HIC
327,BHR,21819.3291098099,8.62552422968448,4.08934975,,78.593,2010,MEA,,HIC
328,BHR,25032.7867743333,8.76965450044426,3.8651762,,79.141,2011,MEA,,HIC
329,BHR,26438.6733230428,8.17982959747314,4.10642147,,79.622,2012,MEA,,HIC
330,BHR,26989.7601148469,7.45860004425049,4.30853891,,79.998,2013,MEA,,HIC
331,BHR,26451.7965647453,8.6840295791626,4.41240263,,80.214,2014,MEA,,HIC
332,BHR,23734.0551143019,7.32818984985352,4.97671938,,80.338,2015,MEA,,HIC
333,BHR,23800.001440631,9.62066806104186,4.86051178,,80.407,2016,MEA,,HIC
334,BHR,24784.7693514607,7.22384977340698,4.51235676,,80.407,2017,MEA,,HIC
335,BHR,26324.4066549559,9.25130901584206,4.12745667,,80.412,2018,MEA,,HIC
336,BHR,27259.7438599327,8.55740317815593,3.95980334,,80.471,2019,MEA,,HIC
337,BHR,24342.8444554718,7.1386052862896,4.7196188,,78.683,2020,MEA,,HIC
338,BHR,27147.8083882286,7.66467244701359,4.49223804,,78.083,2021,MEA,,HIC
339,BHR,30470.5219276023,7.66017986372767,3.83745313,,80.992,2022,MEA,,HIC
340,BHR,29290.1284215098,7.72491437544958,,,81.284,2023,MEA,,HIC
341,BHR,30048.2177718844,8.7409747478851,,,,2024,MEA,,HIC
342,BHS,27473.100430502,12.4952255987713,5.25594234,,73.449,2010,LCN,,HIC
343,BHS,27090.8376801379,12.3615014826565,5.32398558,,73.571,2011,LCN,,HIC
344,BHS,28552.0242683151,12.1764484167983,5.3190918,,73.707,2012,LCN,,HIC
345,BHS,27642.7419759179,12.1424660852394,5.6846571,,73.93,2013,LCN,,HIC
346,BHS,29137.2175632622,12.0861684638054,5.62925673,,74.029,2014,LCN,,HIC
347,BHS,30719.405417469,11.5541169421682,5.24419451,,73.805,2015,LCN,,HIC
348,BHS,30616.5363157284,11.6442261202761,5.71206808,,74.042,2016,LCN,,HIC
349,BHS,31875.4881749619,11.5325187865534,6.75126934,,74.031,2017,LCN,,HIC
350,BHS,32642.3353203452,12.7988041921042,6.02687502,,74.062,2018,LCN,,HIC
351,BHS,33640.3369861278,12.9164965230537,5.86800623,,71.408,2019,LCN,,HIC
352,BHS,26178.7537607708,12.6566403628894,7.59303093,,72.994,2020,LCN,,HIC
353,BHS,30367.8605757708,10.6851768495684,7.0057478,,70.752,2021,LCN,,HIC
354,BHS,34957.1613279737,10.3566126185111,7.21692038,,74.491,2022,LCN,,HIC
355,BHS,38231.774484278,11.5972390755357,,,74.552,2023,LCN,,HIC
356,BHS,39455.4466548546,10.8463655256369,,,,2024,LCN,,HIC
357,BIH,4506.47828548389,,9.01888275,,76.827,2010,ECS,,UMC
358,BIH,4982.69375768263,,9.17856026,33.0,76.963,2011,ECS,,UMC
359,BIH,4693.78899115381,,9.49001503,,77.037,2012,ECS,,UMC
360,BIH,5034.56616016469,,9.44886494,,77.129,2013,ECS,,UMC
361,BIH,5206.06558252,,9.49011135,,77.089,2014,ECS,,UMC
362,BIH,4662.25883724069,,9.24086571,,77.073,2015,ECS,,UMC
363,BIH,4928.5665251728,10.2865800857544,9.13943481,,77.124,2016,ECS,,UMC
